,STNCode,Name of Monitoring Location,Type of Water Body,State Name,Temperature Min⁰C,Temperature Max⁰C,Dissolved Oxygen(mg/L)Min,Dissolved Oxygen(mg/L)Max,pH Min,pH Max,Conductivity(μmhos/cm)Min,Conductivity(μmhos/cm)Max,BOD(mg/L)Min,BOD(mg/L)Max,NitrateN+NitriteN(mg/L)Min,NitrateN+NitriteN(mg/L)Max,FecalColiform(MPN/100ml)Min,FecalColiform(MPN/100ml)Max,TotalColiform(MPN/100ml)Min,TotalColiform(MPN/100ml)Max,Year
426,4179.0,"BADI KA TALAB, UDAIPUR",POND,RAJASTHAN,24.0,26.0,7.2,8.8,7.9,8.6,360.0,430.0,1.0,2.3,1.02,1.82,20.0,64.0,39.0,120.0,2020
427,1420.0,"KODAI KANAL LAKE,
TAMILNADU",LAKE,TAMIL NADU,18.0,30.0,6.0,6.5,6.0,7.8,68.0,182.0,2.0,4.0,0.32,2.36,36.0,49.0,60.0,96.0,2020
428,1421.0,"UDHAGAMADALEM LAKE
(OOTY), TAMILNADU",LAKE,TAMIL NADU,17.0,23.0,4.6,6.6,6.7,7.9,345.0,517.0,2.0,11.1,0.04,0.96,12.0,220.0,34.0,540.0,2020
429,1452.0,"YERCAUD LAKE, SALEM,
TAMILNADU",LAKE,TAMIL NADU,20.0,24.0,5.9,7.1,6.5,8.0,286.0,378.0,0.1,2.0,0.22,0.77,25.0,260.0,120.0,630.0,2020
430,3007.0,"VEERANAM LAKE AT CUDDALORE, TAMILNADU",LAKE,TAMIL NADU,23.0,27.0,5.7,7.0,7.9,8.4,454.0,725.0,0.1,2.4,0.15,0.84,31.0,94.0,70.0,280.0,2020
431,3008.0,"POONDI LAKE AT
THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,26.0,32.0,5.0,7.0,7.2,8.3,358.0,615.0,2.0,3.0,0.32,1.05,2.0,2.0,2.0,170.0,2020
432,3009.0,"REDD HILLS AT THIRUVALLUR,
TAMILNADU",LAKE,TAMIL NADU,26.0,31.0,4.9,6.4,7.0,8.3,340.0,531.0,1.0,3.0,0.14,2.05,2.0,93.0,2.0,490.0,2020
433,3010.0,"PORUR LAKE AT THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,26.0,30.0,5.0,7.0,7.2,8.7,836.0,1657.0,1.0,3.0,0.32,1.85,2.0,120.0,40.0,1300.0,2020
434,3011.0,"PULICATE LAKE AT
THIRUVALLUR, TAMILNADU",LAKE,TAMIL NADU,26.0,32.0,4.8,5.7,7.3,8.6,13010.0,65200.0,2.0,4.0,0.32,2.21,2.0,45.0,2.0,330.0,2020
435,1391.0,"HUSSAIN SAGAR LAKE,
BUDAMERU",LAKE,TELANGANA,25.0,31.0,0.4,6.0,6.9,8.1,1066.0,1566.0,8.0,28.0,2.59,51.0,14.0,540.0,350.0,1600.0,2020
436,1788.0,"SAROORNAGAR , RANGA
REDDY DIST.",LAKE,TELANGANA,26.0,33.0,0.1,3.9,6.8,7.9,1070.0,1498.0,8.0,46.0,0.1,9.0,8.0,70.0,31.0,1600.0,2020
437,1789.0,"HIMAYAT SAGAR LAKE ,
R.R.DIST.",LAKE,TELANGANA,27.0,30.0,4.0,7.5,7.2,8.2,272.0,602.0,2.1,3.0,0.29,2.1,2.0,8.0,5.0,154.0,2020
438,2340.0,"LAXMINARAYANA CHERUVU
AT EDULABAD, RANGAREDDY",LAKE,TELANGANA,22.0,29.0,0.1,5.8,7.1,8.6,1084.0,1630.0,2.7,20.0,0.7,8.0,2.0,24.0,2.0,430.0,2020
439,2341.0,"MIRALAM LAKE NEAR ZOO
PARK, RANGAREDDY",LAKE,TELANGANA,26.0,32.0,0.1,5.4,6.9,8.2,1048.0,1547.0,6.0,20.0,1.1,107.0,2.0,36.0,220.0,1600.0,2020
440,2342.0,"NOOR MD. KUNTA, KATTEDAN, RANGAREDDY",LAKE,TELANGANA,26.0,29.0,0.1,0.3,7.0,7.7,1072.0,2710.0,12.0,98.0,3.9,19.0,2.0,70.0,110.0,1600.0,2020
441,3068.0,"RAMAPPA LAKE, WARANGAL",LAKE,TELANGANA,27.0,27.0,5.8,6.8,7.4,8.6,155.0,274.0,2.1,4.0,0.01,7.0,2.0,2.0,2.0,70.0,2020
442,3069.0,"SHAMEERPET LAKE,
SHAMEERPET, RANGA REDDY",LAKE,TELANGANA,26.0,30.0,4.2,6.0,6.9,8.3,408.0,699.0,2.0,4.0,0.4,3.5,2.0,10.0,18.0,280.0,2020
443,3070.0,"FOX SAGAR, JEEDIMETLA,
RANGA REDDY",LAKE,TELANGANA,26.0,31.0,0.1,4.8,7.1,7.8,1066.0,2496.0,6.0,48.0,1.64,12.0,2.0,49.0,79.0,1600.0,2020
444,3071.0,"LANGARHOUSE LAKE, HYDERABAD",LAKE,TELANGANA,26.0,32.0,0.1,3.4,6.9,7.7,840.0,1414.0,4.0,28.0,0.4,19.0,2.0,36.0,20.0,540.0,2020
445,3072.0,"SAFILGUDA LAKE, RANGA
REDDY",LAKE,TELANGANA,25.0,30.0,0.1,2.0,6.9,7.6,816.0,1776.0,6.0,28.0,2.04,22.0,8.0,26.0,26.0,430.0,2020
446,3073.0,"HASMATHPET LAKE, HASMATHPET, RANGA REDDY",LAKE,TELANGANA,24.0,30.0,0.1,1.2,6.9,7.5,928.0,1728.0,10.0,32.0,0.7,25.0,17.0,150.0,230.0,1600.0,2020
447,3074.0,"BANJARA LAKE, BANJARA
HILLS, RANGA REDDY",LAKE,TELANGANA,26.0,30.0,0.3,0.9,7.0,7.8,1080.0,1144.0,8.0,12.0,1.18,1.51,14.0,130.0,280.0,920.0,2020
448,4229.0,NEKNAMPUR LAKE,LAKE,TELANGANA,25.0,35.0,0.1,5.2,7.0,7.7,1160.0,2021.0,2.9,34.0,1.4,7.87,2.0,32.0,74.0,430.0,2020
449,4234.0,"UMDA SAGAR LAKE,
SHAMSHABAD",LAKE,TELANGANA,27.0,28.0,0.1,4.7,6.7,8.9,712.0,1480.0,4.0,30.0,0.3,13.0,4.0,130.0,180.0,540.0,2020
450,4235.0,LAKE KAMUNI ( SHAMSHABAD LAKE),LAKE,TELANGANA,23.0,32.0,0.1,5.1,7.1,8.5,645.0,1894.0,2.6,28.0,1.0,20.0,2.0,36.0,74.0,430.0,2020
451,4667.0,"SURRAM CHERUVU (PALLE
CHERUVU), BANDLAGUDA (V),",LAKE,TELANGANA,26.0,30.0,0.1,3.0,6.8,8.3,1081.0,2518.0,8.0,42.0,3.4,18.0,2.0,46.0,63.0,540.0,2020
452,1263.0,"BANDLAGUDA (NEW
MANDAL)",LAKE,KARNATAKA,22.0,29.0,4.2,6.9,7.0,8.0,329.0,790.0,2.2,5.0,0.6,2.76,39.0,360.0,279.5,1400.0,2020
453,4668.0,"CHINNARAYAN CHERUVU, ALWAL (V)",LAKE,TELANGANA,26.0,30.0,0.1,4.5,6.9,7.9,1105.0,1992.0,8.0,32.0,1.0,16.0,2.0,20.0,49.0,430.0,2020
454,4669.0,"PEDDA CHERUVU, GANGARAM
(V) SERLINGAMPALLY (NEW MANDAL)",LAKE,TELANGANA,20.0,28.0,0.1,3.9,6.7,8.4,1122.0,2485.0,6.0,32.0,3.1,16.0,12.0,36.0,120.0,540.0,2020
455,4670.0,"MADDELLA KUNTA/
BAIRAMALGUDA CHERUVU",LAKE,TELANGANA,27.0,29.0,0.1,4.3,6.9,8.2,474.0,1360.0,2.2,18.0,0.3,4.1,2.0,17.0,70.0,220.0,2020
456,4672.0,"MEDI KUNTA (WIPRO LAKE),
NANAKRAMGUDA",LAKE,TELANGANA,22.0,35.0,0.1,5.0,7.2,8.4,887.0,1480.0,4.0,22.0,1.0,8.5,4.0,36.0,84.0,430.0,2020
457,4673.0,"MEEDI KUNTA (BK ENCLAVE
LAKE), MAQTA MAHBOOBPET, (MADEENAGUDA)",LAKE,TELANGANA,18.0,29.0,0.1,3.2,6.9,7.4,685.0,1553.0,6.0,34.0,0.8,5.0,4.0,26.0,110.0,920.0,2020
458,4674.0,"MEEDI KUNTA, HAFEEZPET (V)",LAKE,TELANGANA,19.0,28.0,0.3,3.0,7.3,7.8,729.0,1216.0,4.0,12.0,1.2,11.4,2.0,15.0,84.0,430.0,2020
459,4676.0,"BANDA CHERUVU,
MALKAJIGIRI (V), MALKAJIGIRI (NEW MANDAL)",LAKE,TELANGANA,26.0,30.0,0.1,2.8,6.9,7.8,1216.0,1642.0,7.0,32.0,1.8,22.0,2.0,70.0,63.0,430.0,2020
460,4677.0,"LINGAM CHERUVU, SURARAM
(V), QUTHUBULLAPUR",LAKE,TELANGANA,26.0,30.0,0.1,5.0,6.9,7.9,1267.0,1800.0,7.0,25.0,2.1,28.0,2.0,49.0,110.0,480.0,2020
461,4678.0,"PATEL CHERUVU, NACHARAM
(V), UPPAL (NEW MANDAL)",LAKE,TELANGANA,19.0,29.0,0.1,1.0,7.0,7.9,1220.0,1820.0,8.0,32.0,0.8,12.0,5.0,70.0,33.0,540.0,2020
462,4679.0,"HUDA PARK LAKE/ BUMRUKH
KHAN DOWLA",LAKE,TELANGANA,22.0,35.0,0.1,2.6,6.8,7.9,1546.0,2299.0,10.0,36.0,2.4,5.7,8.0,79.0,110.0,540.0,2020
463,4680.0,"LAKNAVARAM CHERUVU,
MULUGU (V)",LAKE,TELANGANA,28.0,29.0,5.5,6.8,6.5,8.0,98.0,640.0,2.0,12.0,0.36,4.2,2.0,17.0,20.0,170.0,2020
464,4681.0,"PHAKAL CHERUVU,
NARSAMPET",LAKE,TELANGANA,27.0,30.0,4.4,6.4,7.6,8.2,175.0,376.0,2.0,2.8,0.1,2.0,2.0,26.0,14.0,240.0,2020
465,4682.0,"BANDAM CHERUVU,
HANAMKONDA",LAKE,TELANGANA,27.0,28.0,0.1,5.6,7.2,8.2,808.0,1480.0,3.0,18.0,0.3,4.0,18.0,74.0,140.0,430.0,2020
466,4683.0,"PEDDA CHERUVU, MADIKONDA",LAKE,TELANGANA,27.0,28.0,2.2,5.8,7.3,8.3,420.0,715.0,2.2,12.0,0.2,1.74,2.0,22.0,27.0,120.0,2020
467,4684.0,"CAMPUS LAKE, ICRISAT",LAKE,TELANGANA,17.0,28.0,5.2,7.1,6.8,7.4,158.0,950.0,2.2,4.0,2.1,7.29,3.0,84.0,170.0,350.0,2020
468,4685.0,SURISIGAL LAKE ICRISAT,LAKE,TELANGANA,17.0,26.0,5.2,7.2,6.8,7.4,242.0,762.0,2.4,5.0,2.16,8.33,3.0,240.0,170.0,1600.0,2020
469,4686.0,"ICRISAT LAKE, ICRISAT",LAKE,TELANGANA,18.0,26.0,5.7,6.8,6.6,7.3,238.0,903.0,2.8,5.0,1.49,15.28,3.0,36.0,33.0,540.0,2020
470,4687.0,"RED LAKE, ICRISAT",LAKE,TELANGANA,18.0,25.0,5.8,6.9,6.6,7.5,345.0,1220.0,2.2,5.6,4.2,18.36,4.0,13.0,110.0,430.0,2020
471,4688.0,NARINJA LAKE,LAKE,TELANGANA,24.0,24.0,6.5,7.4,6.9,7.4,154.0,283.0,2.1,3.0,1.24,3.25,2.0,33.0,6.0,110.0,2020
472,4690.0,"BANJARA KUNTA (SINGADI KUNTA(, SHAIKPET",LAKE,TELANGANA,26.0,29.0,0.1,3.8,6.8,8.1,942.0,1346.0,8.0,34.0,2.01,12.0,2.0,79.0,110.0,430.0,2020
